time,phase,position,velocity
0.000000,pre,0.446200,-1.000000
0.005000,pre,0.441077,-1.049050
0.010000,pre,0.435710,-1.098100
0.015000,pre,0.430096,-1.147150
0.020000,pre,0.424238,-1.196200
0.025000,pre,0.418134,-1.245250
0.030000,pre,0.411786,-1.294300
0.035000,pre,0.405191,-1.343350
0.040000,pre,0.398352,-1.392400
0.045000,pre,0.391267,-1.441450
0.050000,pre,0.383938,-1.490500
0.055000,pre,0.376362,-1.539550
0.060000,pre,0.368542,-1.588600
0.065000,pre,0.360476,-1.637650
0.070000,pre,0.352166,-1.686700
0.075000,pre,0.343609,-1.735750
0.080000,pre,0.334808,-1.784800
0.085000,pre,0.325761,-1.833850
0.090000,pre,0.316470,-1.882900
0.095000,pre,0.306932,-1.931950
0.100000,pre,0.297150,-1.981000
0.105000,pre,0.287122,-2.030050
0.110000,pre,0.276850,-2.079100
0.115000,pre,0.266331,-2.128150
0.120000,pre,0.255568,-2.177200
0.125000,pre,0.244559,-2.226250
0.130000,pre,0.233306,-2.275300
0.135000,pre,0.221806,-2.324350
0.140000,pre,0.210062,-2.373400
0.145000,pre,0.198072,-2.422450
0.150000,pre,0.185838,-2.471500
0.155000,pre,0.173357,-2.520550
0.160000,pre,0.160632,-2.569600
0.165000,pre,0.147661,-2.618650
0.170000,pre,0.134445,-2.667700
0.175000,pre,0.120984,-2.716750
0.180000,pre,0.107278,-2.765800
0.185000,pre,0.093326,-2.814850
0.190000,pre,0.079130,-2.863900
0.195000,pre,0.064687,-2.912950
0.200000,pre,0.050000,-2.962000
0.200000,post,0.050000,1.184800
0.205000,post,0.055801,1.135750
0.210000,post,0.061357,1.086700
0.215000,post,0.066668,1.037650
0.220000,post,0.071734,0.988600
0.225000,post,0.076554,0.939550
0.230000,post,0.081129,0.890500
0.235000,post,0.085459,0.841450
0.240000,post,0.089544,0.792400
0.245000,post,0.093383,0.743350
0.250000,post,0.096977,0.694300
0.255000,post,0.100326,0.645250
0.260000,post,0.103430,0.596200
0.265000,post,0.106288,0.547150
0.270000,post,0.108901,0.498100
0.275000,post,0.111269,0.449050
0.280000,post,0.113392,0.400000
0.285000,post,0.115269,0.350950
0.290000,post,0.116901,0.301900
0.295000,post,0.118288,0.252850
0.300000,post,0.119430,0.203800
0.305000,post,0.120326,0.154750
0.310000,post,0.120978,0.105700
0.315000,post,0.121383,0.056650
0.320000,post,0.121544,0.007600
0.325000,post,0.121459,-0.041450
0.330000,post,0.121130,-0.090500
0.335000,post,0.120554,-0.139550
0.340000,post,0.119734,-0.188600
0.345000,post,0.118668,-0.237650
0.350000,post,0.117357,-0.286700
0.355000,post,0.115801,-0.335750
0.360000,post,0.114000,-0.384800
0.365000,post,0.111953,-0.433850
0.370000,post,0.109661,-0.482900
0.375000,post,0.107124,-0.531950
0.380000,post,0.104342,-0.581000
0.385000,post,0.101314,-0.630050
0.390000,post,0.098042,-0.679100
0.395000,post,0.094523,-0.728150
0.400000,post,0.090760,-0.777200
