step,time,state_index,particle_id,parent_id,birth_event_id,symbol,label,x,y,z
0,0.000000,0,1,,,X,9,-0.181633,1.08669,-0.485405
1,0.031250,0,1,,,X,9,-0.152132,0.910186,-0.406564
2,0.062500,0,2,1,1,X,9,-0.127295,0.761594,-0.34019
2,0.062500,1,3,1,1,X,9,-0.127295,0.761594,-0.34019
3,0.093750,0,2,1,1,X,9,-0.106401,0.636584,-0.284351
3,0.093750,1,3,1,1,X,9,1.90381,0.636584,-0.284351
4,0.125000,0,2,1,1,X,9,-0.088835,0.531487,-0.237406
4,0.125000,1,3,1,1,X,9,3.392971,0.531487,-0.237406
5,0.156250,0,2,1,1,X,9,-0.074078,0.443197,-0.197968
5,0.156250,1,3,1,1,X,9,4.449176,0.443197,-0.197968
6,0.187500,0,2,1,1,X,9,-0.06169,0.369085,-0.164864
6,0.187500,1,3,1,1,X,9,5.161871,0.369085,-0.164864
7,0.218750,0,2,1,1,X,9,-0.051301,0.306927,-0.137099
7,0.218750,1,3,1,1,X,9,5.604262,0.306927,-0.137099
8,0.250000,0,2,1,1,X,9,-0.042595,0.254841,-0.113833
8,0.250000,1,3,1,1,X,9,5.836064,0.254841,-0.113833
9,0.281250,0,4,2,2,X,9,-0.035307,0.211238,-0.094356
9,0.281250,1,5,2,2,X,9,-0.035307,0.211238,-0.094356
9,0.281250,2,3,1,1,X,9,5.905811,0.211238,-0.094356
10,0.312500,0,4,2,2,X,9,-0.029212,0.174772,-0.078068
10,0.312500,1,5,2,2,X,9,0.937269,0.174772,-0.078068
10,0.312500,2,3,1,1,X,9,4.642147,1.120907,-0.078068
11,0.343750,0,4,2,2,X,9,-0.024121,0.14431,-0.064461
11,0.343750,1,5,2,2,X,9,1.649884,0.14431,-0.064461
11,0.343750,2,3,1,1,X,9,3.611745,1.783072,-0.064461
12,0.375000,0,4,2,2,X,9,-0.019872,0.118894,-0.053108
12,0.375000,1,5,2,2,X,9,2.154845,0.118894,-0.053108
12,0.375000,2,3,1,1,X,9,2.774642,2.247828,-0.053108
13,0.406250,0,4,2,2,X,9,-0.016332,0.097713,-0.043647
13,0.406250,1,5,2,2,X,9,2.495084,0.097713,-0.043647
13,0.406250,2,3,1,1,X,9,2.097422,2.556258,-0.043647
14,0.437500,0,4,2,2,X,9,-0.013386,0.080088,-0.035774
14,0.437500,1,5,2,2,X,9,2.705731,0.080088,-0.035774
14,0.437500,2,3,1,1,X,9,1.552173,2.74196,-0.035774
15,0.468750,0,4,2,2,X,9,-0.010938,0.065442,-0.029232
15,0.468750,1,5,2,2,X,9,2.81544,0.065442,-0.029232
15,0.468750,2,3,1,1,X,9,1.115613,2.832318,-0.029232
16,0.500000,0,4,2,2,X,9,-0.008908,0.053293,-0.023805
16,0.500000,1,5,2,2,X,9,2.8475,0.053293,-0.023805
16,0.500000,2,3,1,1,X,9,0.768344,2.849566,-0.023805
17,0.531250,0,4,2,2,X,9,-0.007226,0.043231,-0.019311
17,0.531250,1,5,2,2,X,9,2.820761,0.043231,-0.019311
17,0.531250,2,3,1,1,X,9,0.494226,2.811681,-0.019311
18,0.562500,0,4,2,2,X,9,-0.005836,0.034915,-0.015596
18,0.562500,1,5,2,2,X,9,2.750404,0.034915,-0.015596
18,0.562500,2,3,1,1,X,9,0.279853,2.733129,-0.015596
19,0.593750,0,4,2,2,X,9,-0.004689,0.028057,-0.012532
19,0.593750,1,5,2,2,X,9,2.648594,0.028057,-0.012532
19,0.593750,2,3,1,1,X,9,0.114105,2.625482,-0.012532
20,0.625000,0,4,2,2,X,9,-0.003746,0.022413,-0.010011
20,0.625000,1,5,2,2,X,9,2.525013,0.022413,-0.010011
20,0.625000,2,3,1,1,X,9,-0.012224,2.497935,-0.010011
21,0.656250,0,4,2,2,X,9,-0.002972,0.017781,-0.007942
21,0.656250,1,5,2,2,X,9,2.38731,0.017781,-0.007942
21,0.656250,2,3,1,1,X,9,-0.106738,2.357741,-0.007942
22,0.687500,0,4,2,2,X,9,-0.002338,0.01399,-0.006249
22,0.687500,1,5,2,2,X,9,2.241473,0.01399,-0.006249
22,0.687500,2,3,1,1,X,9,-0.175711,2.210563,-0.006249
23,0.718750,0,4,2,2,X,9,-0.001822,0.010898,-0.004868
23,0.718750,1,5,2,2,X,9,2.092136,0.010898,-0.004868
23,0.718750,2,3,1,1,X,9,-0.2243,2.060773,-0.004868
24,0.750000,0,4,2,2,X,9,-0.001402,0.008385,-0.003746
24,0.750000,1,5,2,2,X,9,1.942839,0.008385,-0.003746
24,0.750000,2,3,1,1,X,9,-0.256736,1.911695,-0.003746
25,0.781250,0,4,2,2,X,9,-0.001062,0.006351,-0.002837
25,0.781250,1,5,2,2,X,9,1.796234,0.006351,-0.002837
25,0.781250,2,3,1,1,X,9,-0.276481,1.765809,-0.002837
26,0.812500,0,4,2,2,X,9,-0.000788,0.004713,-0.002105
26,0.812500,1,5,2,2,X,9,1.654262,0.004713,-0.002105
26,0.812500,2,3,1,1,X,9,-0.286357,1.624919,-0.002105
27,0.843750,0,4,2,2,X,9,-0.000568,0.0034,-0.001519
27,0.843750,1,5,2,2,X,9,1.518296,0.0034,-0.001519
27,0.843750,2,3,1,1,X,9,-0.288656,1.490289,-0.001519
28,0.875000,0,4,2,2,X,9,-0.000394,0.002355,-0.001052
28,0.875000,1,5,2,2,X,9,1.38926,0.002355,-0.001052
28,0.875000,2,3,1,1,X,9,-0.285233,1.362752,-0.001052
29,0.906250,0,4,2,2,X,9,-0.000256,0.001529,-0.000683
29,0.906250,1,5,2,2,X,9,1.26772,0.001529,-0.000683
29,0.906250,2,3,1,1,X,9,-0.277579,1.242811,-0.000683
30,0.937500,0,4,2,2,O,8,-0.000148,0.000883,-0.000394
30,0.937500,1,5,2,2,H,1,1.15397,0.000883,-0.000394
30,0.937500,2,3,1,1,H,1,-0.266888,1.130703,-0.000394
31,0.968750,0,4,2,2,O,8,-6.4e-05,0.000382,-0.000171
31,0.968750,1,5,2,2,H,1,1.04809,0.000382,-0.000171
31,0.968750,2,3,1,1,H,1,-0.254112,1.02647,-0.000171
32,1.000000,0,4,2,2,O,8,0.0,0.0,0.0
32,1.000000,1,5,2,2,H,1,0.95,0.0,0.0
32,1.000000,2,3,1,1,H,1,-0.24,0.93,0.0
